,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2
0,95051,Healthcare,17700.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],https://www.agilent.com,1,5301 Stevens Creek Boulevard,866 497 1134,Diagnostics & Research,0.28863,0.19943,0.54212004,1304999936.0,0.083,0.23938,1922000000.0,146.65,hold,3407000000.0,829000000.0,146.65,146.95,0.279,1.94,0.09498999,1.0,146.65,60.361,0.26462,146.65,1076999936.0,3072999936.0,6658999808.0,3.638,USD,22.178,1.273,3.0,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EST,True,-18000000,,EQUITY,A,,,finmb_154924,7fc56270-e7a7-3fa8-9a59-35b72eacbe29,us_market,,6.368,,22.062,,,4.36,,302000992.0,,,,15.756,2474824.0,0.0084,,1635638400.0,0.93811995,1328000000.0,2.597,,,9.326606,0.00239,1698710400.0,,1659225600.0,1.74,1663200000.0,295134686.0,1.040162,42402578432.0,2,,1414972800.0,1398:1000,,,0.246,6.664521,1665705600.0,2.34,,33.70413,,0.0084,3031218.0,,,149.3,148.91,130.9072,0.004916276,0.1881,,148.89,,1348880,149.3,142.6114,0.734,148.91,1348880,,,0.84,1664755200.0,,,146.24,USD,56.584522,857959,,,,44379045888.0,,,1366752,146.24,146.91,800,857959,162.62,,0.73,112.52,146.54,False,0.0061000003,800,148.89,146.95,148.14,https://logo.clearbit.com/agilent.com,,
1,76155,Industrials,129700.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,682 278 9000,TX,United States,[],https://www.aa.com,1,1 Skyview Drive,,Airlines,0.05309,-0.03557,0.19931,1131000064.0,0.501,0.00031,2400000000.0,7.0,hold,1934000000.0,265500000.0,14.25,12.48,1.735,0.791,0.00013,14.0,16.18,,,26.0,11232000000.0,44681998336.0,45210001408.0,17.283,USD,69.575,0.602,3.0,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EST,True,-18000000,,EQUITY,AAL,,,finmb_168569,b73d98bf-8d5e-382f-9d49-b84d8f52f152,us_market,,0.945,,17.807,,,-0.18,,647513984.0,,,,-12.387,86287305.0,0.1328,,1640908800.0,0.54912,-1608000000.0,-14.725,,,,0.01189,1703980800.0,,1664496000.0,2.28,1663200000.0,642862460.0,1.450626,42737082368.0,2,,1386547200.0,0:1,,,1.858,0.17874306,1665705600.0,0.53,,-69.33333,,0.1496,80135453.0,,,12.81,12.85,14.9137,0.0,0.0,,12.89,,28096770,12.81,13.8038,0.0,12.85,28096770,,,,1580774400.0,,,12.46,USD,,21647736,,,,8080974336.0,,,31921547,12.46,12.48,3100,21647736,21.42,,,11.65,12.47,False,,2900,12.89,12.48,12.8,https://logo.clearbit.com/aa.com,,
2,27604,Consumer Cyclical,41000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],https://www.advanceautoparts.com,1,4200 Six Forks Road,,Specialty Retail,0.095819995,0.04844,0.44759998,644646016.0,0.006,0.07111,1059585024.0,132.0,buy,4931356000.0,236783376.0,202.5,140.9,-0.131,1.158,0.04099,18.0,204.67,144.851,0.17573,252.0,240551008.0,4048299008.0,11057840128.0,4.038,USD,178.805,0.219,2.3,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EST,True,-18000000,,EQUITY,AAP,,,finmb_24333,e77e78f9-7896-3fa1-acee-885058f2c91a,us_market,,1.358,,14.169,,,11.67,,62355200.0,,,,54.079,2926332.0,0.048699997,,1640995200.0,1.0308,535675008.0,7.14,,,2.6054475,0.00784,1704067200.0,,1657929600.0,3.7,1663200000.0,59367332.0,1.237656,15013223424.0,2,,1127692800.0,3:2,,,-0.192,0.7945356,1665705600.0,1.3,,12.073692,,0.055,3259761.0,,,140.16,140.75,185.24655,0.007134703,0.5794,,142.405,,1138530,140.16,164.9562,1.0,140.75,1138530,,,6.0,1663200000.0,,,140.19,USD,19.733892,814562,,,,8785847296.0,,,1015520,140.19,142.97,800,814562,244.55,,0.69,138.79,138.5,False,0.0319,900,142.405,140.9,141.01,https://logo.clearbit.com/advanceautoparts.com,,
3,95014,Technology,154000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072.0,0.019,0.30533,129556996096.0,122.0,buy,152836000000.0,83344621568.0,185.0,132.37,-0.077,0.865,0.22204,40.0,183.59,205.984,1.62816,220.0,48230998016.0,119691001856.0,387541991424.0,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EST,True,-18000000,,EQUITY,AAPL,,,finmb_24937,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,us_market,,6.502,,19.448,,,5.31,,16406400000.0,,,,4.146,108664761.0,0.0068,,1632528000.0,0.59562,99632996352.0,4.449,,,31.927158,0.00071000005,1695600000.0,,1656115200.0,1.11,1663200000.0,16053717003.0,1.249815,2519678320640.0,2,,1598832000.0,4:1,,,-0.106,5.603819,1665705600.0,2.52,,24.928436,,0.0068,116076947.0,,,134.51,135.11,152.81895,0.006096201,0.1471,,135.18,,84712460,134.51,144.864,0.82,135.11,84712460,,,0.92,1659657600.0,,,131.32,USD,29.752752,79018871,,,,2171715059712.0,,,88035449,131.32,132.34,900,79018871,182.94,,1.02,129.04,132.49,False,0.006,3000,135.18,132.37,135.18,https://logo.clearbit.com/apple.com,,
4,60064-6400,Healthcare,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,,Drug Manufacturers—General,0.47377,0.22035,0.70725,22922999808.0,0.045,0.33058998,27170000896.0,135.0,buy,38883000000.0,18629376000.0,160.0,161.49,0.214,0.844,0.08139,21.0,158.66,498.284,0.92706,200.0,9962999808.0,73187999744.0,57349001216.0,5.635,USD,32.391,0.615,2.2,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,True,-18000000,,EQUITY,ABBV,,,finmb_141885706,73238d42-cdcc-3f92-8141-dd675addae10,us_market,,5.836,,12.317,,,13.82,,1767879936.0,,,,7.408,14003998.0,0.007900001,,1640908800.0,0.70739,12570999808.0,2.913,,,21.799406,0.00112,1703980800.0,,1656547200.0,2.27,1663200000.0,1766063184.0,0.647383,334662828032.0,2,,,,,,0.206,4.9782023,1665705600.0,-25.77,,11.68524,,0.007900001,12947137.0,,,160.48,160.78,149.91945,0.022806581,0.7666,,162.2097,,6171380,160.48,152.72,3.66,160.78,6171380,,,5.64,1665619200.0,,,160.06,USD,55.437695,2795951,,,,285494935552.0,,,5700809,160.06,160.94,900,2795951,175.91,,4.31,128.23,161.33,False,0.0367,1100,162.2097,161.49,160.25,https://logo.clearbit.com/abbvie.com,,
5,19428-1800,Healthcare,42000.0,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],https://www.amerisourcebergen.com,1,1 West First Avenue,800 640 5221,Medical Distribution,0.015149999,0.0077899997,0.03548,2548434944.0,0.125,0.012200001,3580100096.0,155.0,buy,6774434000.0,2538072832.0,175.0,167.22,0.371,0.921,0.03186,12.0,174.17,1420.729,3.89572,191.0,3034233088.0,7357447168.0,236325273600.0,14.64,USD,1132.645,0.505,2.1,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EST,True,-18000000,,EQUITY,ABC,,,finmb_24809,902fbdd2-b1df-3c4f-b0b4-a5d23525e932,us_market,,0.156,,10.315,,,9.2,,208132992.0,,,,-3.406,5489321.0,0.026500002,,1632960000.0,0.70545995,1841780992.0,-15.76,,,,0.25757,1696032000.0,,1656547200.0,4.71,1663200000.0,153783432.0,0.497052,36928315392.0,2,,1245110400.0,2:1,,,0.393,0.14727159,1665705600.0,1.42,,18.176088,,0.037100002,4612538.0,,,166.79,167.02,150.6304,0.0101924585,0.20899999,,168.71,,1729590,166.79,157.5404,1.7,167.02,1729590,,,1.84,1660262400.0,,,166.355,USD,,1121752,,,,34803998720.0,,,1506319,166.355,167.61,800,1121752,174.63,,1.65,123.21,167.4,False,0.0117999995,1800,168.71,167.22,167.22,https://logo.clearbit.com/amerisourcebergen.com,,
6,01923,Healthcare,2003.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,978 777 8411,Medical Devices,0.26437,0.20598,0.81483,298134016.0,0.097,0.23805,279260992.0,235.0,hold,843595000.0,223637872.0,305.0,381.3,,7.533,0.09941,5.0,309.0,0.507,0.15303001,355.0,844321024.0,0.0,1056316992.0,18.572,USD,23.21,6.645,2.6,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EST,False,-18000000,,EQUITY,ABMD,,,finmb_247589,a393224e-40ae-3cd2-a2c8-12a0912a9351,us_market,,10.717,,40.536,,,5.22,,45497500.0,,,,29.371,1966892.0,0.0433,,1648684800.0,0.95197,217584000.0,4.94,,,12.982193,0.020060001,1711843200.0,,1656547200.0,6.18,1663200000.0,44559849.0,1.314296,11320101888.0,2,,970444800.0,2:1,,,,16.423286,1665705600.0,3.08,,73.045975,,0.0558,1590230.0,,,381.0,381.25,290.0481,,0.0,,381.69,,1469860,381.0,335.7062,,381.25,1469860,,,,,,,381.18,USD,77.18623,1360135,,,,17348196352.0,,,1072387,381.18,610.0,1100,1360135,381.99,,,219.85,381.26,False,,3000,381.69,381.3,,https://logo.clearbit.com/abiomed.com,,
7,60064-6400,Healthcare,113000.0,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,,Medical Devices,0.29138002,0.17518999,0.57188,,-0.047,0.21701,13121000448.0,90.0,buy,25009000000.0,,117.5,106.59,-0.308,,,22.0,117.32,45.868,,144.0,9290000384.0,16840999936.0,45029998592.0,5.305,USD,25.618,,2.2,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,True,-18000000,,EQUITY,ABT,,,finmb_247483,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,us_market,,3.982,,13.666,,,5.41,,1768290048.0,,,,18.509,13990293.0,0.008,,1640908800.0,0.75675005,7859999744.0,3.192,,,5.7588196,0.00732,1703980800.0,,1664496000.0,2.49,1663200000.0,1737998034.0,0.709285,179308969984.0,2,,1357084800.0,10000:4798,,,-0.317,4.185699,1665705600.0,2.24,,19.702402,,0.0082,16028757.0,,,106.91,106.74,108.95015,0.015152932,0.41990003,,107.18,,5194560,106.91,102.819,1.62,106.74,5194560,,,1.88,1665619200.0,,,105.85,USD,33.392857,2966243,,,,188482027520.0,,,6006374,105.85,107.8,800,2966243,142.6,,1.54,93.25,106.41,False,0.019199999,3100,107.18,106.59,106.47,https://logo.clearbit.com/abbott.com,,Abbott Park
8,HM 08,Financial Services,5200.0,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was incorporated in 1995 and is based in Pembroke, Bermuda.",Pembroke,,,Bermuda,[],https://www.archgroup.com,1,Waterloo House,441 278 9255,Insurance—Diversified,0.14449,0.14008,0.27973,3633721088.0,0.136,0.13166,1279622016.0,,none,3361999000.0,1922482688.0,,60.54,-0.98,1.866,0.01599,,,23.087,0.09867,,2754439936.0,2725153024.0,8855909376.0,7.542,USD,23.808,0.906,,NMS,Arch Capital Group Ltd.,Arch Capital Group Ltd.,America/New_York,EST,True,-18000000,,EQUITY,ACGL,,,finmb_346919,a6151c27-5d10-37bc-a747-822f682686a5,us_market,,2.223,,15.385,,,3.84,,386134016.0,,,,30.663,3799612.0,0.010299999,,1640908800.0,0.90944,1154358016.0,4.056,,,1.9743665,0.030869998,1703980800.0,,1664496000.0,1.93,1663200000.0,352795961.0,,19686449152.0,2,,1529539200.0,3:1,,,-0.959,2.639656,1665705600.0,0.71,,15.765626,,0.0107,3276406.0,,,61.03,60.88,48.2492,,0.0,,61.68,,2312540,61.03,55.2334,,60.88,2312540,,,,,,,60.41,USD,14.926035,1678194,,,,23376553984.0,,,3980407,60.41,62.2,1000,1678194,61.68,,,41.05,60.47,False,,1000,61.68,60.54,60.9,https://logo.clearbit.com/archgroup.com,,Ground Floor 100 Pitts Bay Road
9,D02 P820,Technology,721000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,353 1 646 2020,Information Technology Services,0.16894,0.11165,0.31986,9541129216.0,0.149,0.15208,10405497856.0,307.18,buy,19701539000.0,7736192000.0,307.18,255.4,0.184,1.233,0.12946999,1.0,307.18,14.62,0.32625,307.18,7893806080.0,3325755904.0,61594304512.0,12.528,USD,97.342,1.123,2.0,NYQ,Accenture plc,Accenture plc,America/New_York,EST,True,-18000000,,EQUITY,ACN,,,finmb_972190,64bf532c-0542-3794-9f22-7d6062a2458b,us_market,,2.789,,16.507,,,9.38,,632001024.0,,,,28.802,4603979.0,0.0073,,1661904000.0,0.73357004,6877169152.0,8.45,,,8.867439,0.00133,1725062400.0,,1661904000.0,1.86,1663200000.0,629178946.0,1.213706,171764432896.0,2,,1325203200.0,10:1,,,0.176,2.6226904,1665705600.0,2.03,,27.228144,,0.0073,5530235.0,,,264.48,263.16,292.93436,0.013006655,0.3623,,264.19,,2735680,264.48,279.251,3.44,263.16,2735680,,,4.48,1665532800.0,,,254.17,USD,30.224852,3363180,,,,161542799360.0,,,2247601,254.17,254.96,800,3363180,417.37,,1.42,242.95,254.93,False,0.0161,800,264.19,255.4,264.4,https://logo.clearbit.com/accenture.com,,Grand Canal Harbour
