date published,article title
2020-12-15,Jaguar pays homage to the legendary E-Type on its 60th anniversary - Swing Feminin
2020-12-15,Cohen & Co. to raise $235m with third Butler-led re/insurance SPAC ... - Artemis.bm
2020-12-15,"Industry cat losses totalled $83bn this year, says Swiss Re - Reinsurance News"
2020-12-15,Broker BRP Group makes acquisition | Business Insurance - Business Insurance
2020-12-15,Aon's $30B bid for Willis Towers Watson faces EU probe | Business ... - Business Insurance
2020-12-15,Swiss Re CorSo secures direct insurance licence in South Africa - Reinsurance News
2020-12-15,"Lance Ewing returns to gaming, hospitality risk management ... - Business Insurance"
2020-12-15,Philadelphia Insurance Companies names new CEO - Philadelphia ... - Philadelphia Business Journal
2020-12-15,"Mala-Buni mourns former Yobe administrator, Aliyu - P.M. News"
2020-12-15,Aviva appoints new CEO of UK & Ireland Life Insurance - Insurance Business
2020-12-15,A New Breed of Animal Documentary - The New York Times
2020-12-15,Women's Open champ Sophia Popov snubbed again - bunkered.co.uk - bunkered
2020-12-15,BBC pension gets £3bn longevity swap from Zurich & Canada Life Re - Artemis.bm
2020-12-16,"Hurricane activity could be elevated in 2021, say Swiss Re, CSU & ... - Artemis.bm"
2020-12-16,Study reveals benefits of operationalising ESG in risk transfer & ILS - Artemis.bm
2020-12-16,"Tafa Balogun, Akiolu Flag-Off Community Policing Sensitization in Lagos …Ex-IGP Canvases Constitutional R... - Newsmakers"
2020-12-16,Gamers look for fair play as Xmas race for Xbox Series X hits fever pitch - The Crusader - Express
2020-12-16,"Experiencing “Lunatic Levels“ of Growth, Gtmhub Bolsters Senior ... - Business Wire"
2020-12-16,WHO discusses catastrophe bonds to close COVID funding gaps - Artemis.bm
2020-12-16,SCOR chooses successor for CEO Kessler from outside reinsurance - Artemis.bm
2020-12-16,"Ikpeazu pledges to make Abia safest state as he hosts IG of Police, Mohammad Adamu - Daily Post Nigeria"
2020-12-16,Dr. Ngozi Okonjo Iweala shared valuable Insights at the 2020 WISCAR Conference - BellaNaija
2020-12-16,QBE Names 4 From Berkshire Hathaway to Financial Lines Team - Insurance Journal
2020-12-16,Proffering Solution to COVID-19 Induced Security Challenges ... - THISDAY Newspapers
2020-12-16,Nigeria at the threshold of a basketballing superpower - Blueprint Newspapers Limited
2020-12-16,Naresh Dade to lead Howden construction practice - Reinsurance News
2020-12-16,Margin Call Disputes - Key Issues for Investors Under English Law - JD Supra
2020-12-17,"Qatari investor buys 100,000$ GERD bond - - Walta Information Center"
2020-12-17,MS Amlin names Charles Goldie as Chief Underwriting Officer - Artemis.bm
2020-12-17,Cyclone Yasa striking Fiji with winds of close to 150mph - Artemis.bm
2020-12-17,2020 Was Slow for Shareholder Activism - Treasury & Risk
