date published,article title
2020-12-15,Facebook Fuel For India 2020 Day 1: Social Stories shaping India’s growth and connecting the unconnected - CIOL
2020-12-15,Giannis Antetokounmpo Signs Super-Max Extension With Bucks - hoopsrumors.com
2020-12-15,Former Red in Ballon d'Or all-time XI - Man Utd
2020-12-15,"SAP Emphasizes Process Automation, Low-Code/No-Code ... - CRN"
2020-12-15,The 25 Hottest IT Infrastructure And Cloud Companies: 2020 Edge ... - CRN
2020-12-15,"Zoom, Google CEOs ranked the best CEOs of the year, says ... - USA TODAY"
2020-12-16,"IBM Board Appoints CEO Arvind Krishna As Chairman, Replacing ... - CRN"
2020-12-16,Gartner’s Top 10 Hyperconverged (HCI) Software Market Leaders - CRN
2020-12-16,Which behind-closed-doors match did you miss most? - Man Utd
2020-12-16,Contributors - Australia Cyber Security Magazine
2020-12-16,Cross-platform graphics API Vulkan is now 'ray-tracing ready' - Developer News
2020-12-16,Man Utd Foundation and FareShare GM to provide 80000 meals at Christmas - Man Utd
2020-12-17,"Cisco Confirms Layoffs Of 3,500 Employees Since Pandemic Start - CRN"
2020-12-17,SolarWinds Deploys CrowdStrike To Secure Systems After Hack - CRN
2020-12-17,Intel Reveals Visual Sensing Controller Chip For Smarter Laptops - CRN
2020-12-17,Ole's Reds: Kings of the Road - Man Utd
2020-12-17,Perth Modern School board member Craig Andrew Donovan’s sick ... - The West Australian
2020-12-17,Man Utd Women and USA star Tobin Heath named in FIFA Team of 2020 - Man Utd
2020-12-17,Longtime Cisco Leader Irving Tan Steps Down - CRN
2020-12-17,Opinion: Football becoming a night game for Man United - Man Utd
2020-12-18,Redacted KPMG report catalogues failures in DIA's Marketplace ... - Reseller News
2020-12-18,Indigenous manuscript wows Adam judges - waateanews.com
2020-12-18,Amit Chadha to take charge as CEO & MD of L&T Technology Services from new fiscal - CIOL
2020-12-18,VMware Flaw Used To Hit Choice Targets In SolarWinds Hack: Report - CRN
2020-12-18,Chelsea U23s 6 United U23s 1 - Man Utd
2020-12-18,Best CEOs 2020 - Comparably Workplace Insider
2020-12-18,SolarWinds Should Have Been More ‘Vigilant’: Palo Alto Networks ... - CRN
2020-12-18,AWS Marketplace Adds Nvidia’s GPU-Accelerated NGC Software ... - CRN
2020-12-18,Best Companies for Women 2020 - Comparably Workplace Insider
2020-12-19,Reds and Whites Reunited - Man Utd
2020-12-19,"Trump Downplays SolarWinds Hack, Pompeo Blames Russia - CRN"
2020-12-20,Lakers Sign Kyle Kuzma To Three-Year Extension - hoopsrumors.com
2020-12-21,"UK Factory Automation Market Size, Competitive Analysis, Share, Forecast- 2020-2026 - openPR"
2020-12-21,Clippers Sign Luke Kennard To Four-Year Extension - hoopsrumors.com
2020-12-21,Tesla Stock Joins the S&P 500: A Game Changer - The Wall Street Journal
2020-12-21,Man United closer to top at Christmas than in any post Sir Alex season - Man Utd
2020-12-21,Rashford: The night I fell in love with football - Man Utd
2020-12-21,EFL announces Carabao Cup final to be moved back to April 2021 - Man Utd
2020-12-21,Over 1100 offers at RCOEM - The Hitavada
2020-12-21,Google Cloud Nabs Former Cisco Security Leader Jeff Reed - CRN
2020-12-21,Top Treasury Email Accounts Exposed In SolarWinds Hack: Report - CRN
2020-12-21,Microsoft’s iron cage: Prison surveillance and e-carceration - Al Jazeera English
2020-12-21,"Concerns may be overdone, downside limited for Mphasis stock - Business Standard"
2020-12-21,Scott gets a new nickname after Leeds heroics - Man Utd
2020-12-22,The 10 Coolest New Edge Computing Platforms Of 2020 - CRN
2020-12-22,Goldman Sachs forecasts 3rd wave of IT outsourcing - BusinessLine
2020-12-22,Orakei edgy over neighbour's wash up claim - waateanews.com
2020-12-23,The biggest acquisitions in the Australian IT channel for 2020 - CRN Australia
2020-12-23,The 10 Coolest 2-in1-Laptops And Tablets Of 2020 - CRN
2020-12-23,Report: Everton 0 United 2 - Man Utd
2020-12-23,Obituary: John Fitzpatrick (1946-2020) - Man Utd
2020-12-24,"The Tech Industry In 2020, Explained in Charts and Numbers - Bloomberg"
2020-12-24,CrowdStrike Fends Off Attack Attempted By SolarWinds Hackers - CRN
2020-12-24,10 Top AWS Partner Announcements From re:Invent 2020 - CRN
2020-12-24,The 10 Biggest Apple Product News Stories Of 2020 - CRN
2020-12-24,9 Engineering Entrance Exams besides JEE Main 2021 as backup - CIOL
2020-12-26,Match report: Leicester 2 Man United 2 - Man Utd
2020-12-27,Scholes: Bruno's even better than me! - Man Utd
2020-12-27,Marcus Rashford praises Man Utd team-mate Edinson Cavani - Man Utd
2020-12-28,The 10 Most Disruptive Technologies Of 2020 - CRN
2020-12-28,Ighalo: I went hungry to watch United play - Man Utd
2020-12-28,Man Utd players train in wintry conditions and build snowmen 28 Dec 2020 - Man Utd
2020-12-28,"Evkaf Vakfı ve Hasene Derneği, Kıyiv'de ihtiyaç sahiplerine yemek ... - qha.com.tr"
2020-12-29,Rashford: I decided next time I was going shoot - Man Utd
2020-12-29,9 Free Online Courses with Certificates by Government of India - CIOL
2020-12-30,IBM to train 300 Singaporean professionals in emerging tech - Consultancy.asia
2020-12-31,New Feature Alert: 2000+ Tech Company News Pages on Hacker ... - hackernoon.com
2020-12-31,Why 2020 is the year of Bruno Fernandes at Man Utd - Man Utd
2020-12-31,Bruno Fernandes draws inspiration from Cristiano Ronaldo mentality - Man Utd
2020-12-31,Marcus Rashford’s inspirational 2020 - Man Utd
2021-01-01,10 Hot Edge Computing Companies You Should Watch In 2021 - CRN
2021-01-03,Man Utd v Man City: Previous derbies in the League Cup - Man Utd
2021-01-04,"InsurTech (Insurance Technology) Market Share and SWOT Analysis By 2021: Insureon, TechInsurance, DXC Technolo - openPR"
2021-01-04,Max Haygarth leaves Man Utd for Brentford - Man Utd
2021-01-04,Robin Sadler joins Man Utd as Head of Rehabilitation & Physiotherapy - Man Utd
2021-01-04,SolarWinds Hit With Class-Action Lawsuit Alleging Securities ... - CRN
2021-01-04,Fletcher: I can’t wait to get started - Man Utd
2021-01-04,"Cloud Migration Services Market 2019 Analysis May Set New Growth Story, Forecast to 2025 - openPR"
2021-01-04,VMware’s Lawsuit Against Nutanix CEO: 5 Big Things To Know - CRN
2021-01-05,Human Resource Trends 2021 - People Matters
