,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
0,95051,Healthcare,18000.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],https://www.agilent.com,1,5301 Stevens Creek Boulevard,866 497 1134,Diagnostics & Research,0.28256,0.18312,0.54352003,1312000000.0,0.114,0.23627001,1935000064.0,150.0,buy,3722000000.0,777750016.0,160.0,154.81,-0.151,2.03,0.09531,16.0,160.0,52.354,0.23488002,170.0,1053000000.0,2768999936.0,6848000000.0,3.569,USD,22.903,1.321,1.9,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EST,False,-18000000,EQUITY,A,finmb_154924,us_market,,6.839,,24.205,0.04549074,,6.28,,295000000.0,,,,17.929,2725376.0,0.0092,,1667174400.0,0.90662,1254000000.0,4.18,0.21,-0.13901603,8.634614,0.00271,1730332800.0,,1667174400.0,1.87,1667174400.0,293958650.0,1.078663,46836248576.0,2,,1414972800.0,1398:1000,,1664755200.0,,-0.167,6.668947,1669766400.0,2.31,,24.651272,,0.0093,2893740.0,0.0,,,157.66,157.26,130.64365,0.0053279204,0.201,,158.44,,1364710,157.66,141.4366,0.84,157.26,,1364710,,,0.9,1672358400.0,,,154.16,USD,37.035885,1290246,,,,45668950016.0,,,1358074,154.16,165.0,800,1290246,162.62,,0.72,112.52,130.21,False,0.0058999998,900,158.44,,154.81,,https://logo.clearbit.com/agilent.com,2.3596,,,,,
1,76155,Industrials,129700.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,682 278 9000,TX,United States,[],https://www.aa.com,1,1 Skyview Drive,,Airlines,0.05309,-0.03557,0.19931,1131000064.0,0.501,0.00031,2400000000.0,7.0,hold,1934000000.0,265500000.0,14.25,13.35,1.735,0.791,0.00013,14.0,16.11,,,26.0,11232000000.0,44681998336.0,45210001408.0,17.283,USD,69.575,0.602,3.0,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EST,False,-18000000,EQUITY,AAL,finmb_168569,us_market,,0.933,,17.582,-0.18523002,,1.5,,649900992.0,,,,-12.146,86500008.0,0.1331,,1640908800.0,0.55522996,-1608000000.0,-3.671,0.1,-0.13901603,,0.01181,1703980800.0,,1664496000.0,3.46,1667174400.0,642946948.0,1.470186,42197667840.0,2,,,,,1580774400.0,,1.858,0.1919084,1669766400.0,0.53,,8.900001,,0.15,86494438.0,0.0,,,13.46,13.58,14.9601,0.0,0.0,,13.69,,26653670,13.46,13.793,0.0,13.58,,26653670,,,,1580774400.0,,,13.2423,USD,,33728944,,,,8676178944.0,,,31895795,13.2423,13.32,4000,33728944,21.42,,,11.65,13.16,False,,4000,13.69,,13.35,13.28,https://logo.clearbit.com/aa.com,,,,,,
2,27604,Consumer Cyclical,41000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],https://www.advanceautoparts.com,1,4200 Six Forks Road,,Specialty Retail,0.09142999,0.04304,0.44654,670419968.0,0.008,0.06612,1012868992.0,120.0,buy,4931356000.0,213340128.0,170.0,143.46,-0.313,1.132,0.03815,17.0,170.94,150.469,0.16129999,210.0,191204000.0,4086855936.0,11077951488.0,3.252,USD,181.297,0.19,2.5,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EST,False,-18000000,EQUITY,AAP,finmb_24333,us_market,,1.126,,12.314,-0.39086807,,13.43,,59253700.0,,,,45.856,2789500.0,0.0471,,1640995200.0,1.0141101,476844992.0,7.8,1.5,-0.13901603,3.1284895,0.00796,1704067200.0,,1665187200.0,2.11,1667174400.0,58576668.0,1.185704,12472779776.0,2,,1127692800.0,3:2,,1663200000.0,,-0.346,0.7673383,1669766400.0,0.92,,10.682055,,0.053200003,3096041.0,0.0,,,145.68,144.99,186.20485,0.037753984,0.7051,,145.93,,1091080,145.68,166.4314,5.5,144.99,,1091080,,,6.0,1671062400.0,,,141.88,USD,18.392307,1262332,,,,8500536320.0,,,1009012,141.88,142.99,800,1262332,244.55,,0.79,141.88,138.05,False,0.041100003,800,145.93,,143.46,141.32,https://logo.clearbit.com/advanceautoparts.com,0.9249,,,,,
3,95014,Technology,164000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. Further, it provides AppleCare support and cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,,Consumer Electronics,0.33105,0.2531,0.43310001,122151002112.0,0.081,0.30289,130541002752.0,122.0,buy,170782000000.0,90215251968.0,176.0,143.21,0.048,0.879,0.21214001,41.0,176.69,261.446,1.75459,214.0,48304001024.0,132480000000.0,394328014848.0,3.036,USD,24.317,0.709,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EST,False,-18000000,EQUITY,AAPL,finmb_24937,us_market,,6.082,,18.372,-0.15552074,,6.78,,15908100096.0,,,,3.178,125719918.0,0.007900001,,1663977600.0,0.60023,99802996736.0,6.11,0.23,-0.13901603,45.062935,0.00071999995,1727136000.0,,1663977600.0,1.52,1667174400.0,15891414476.0,1.219468,2398330028032.0,2,,1598832000.0,4:1,,1667520000.0,,0.008,5.7774215,1669766400.0,2.68,,21.12242,,0.007900001,103178670.0,0.0,,,145.47,145.35,153.2278,0.0061868425,0.14729999,,146.655,,75371760,145.47,145.3382,0.9,145.35,,75371760,,,0.92,1667520000.0,,,141.19,USD,23.438625,82291182,,,,2278199132160.0,,,87881985,141.19,141.59,800,82291182,182.94,,0.99,129.04,141.5,False,0.0063,800,146.655,,143.21,141.6,https://logo.clearbit.com/apple.com,2.7503,,,,,
4,60064-6400,Healthcare,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,,Drug Manufacturers—General,0.51542,0.23188,0.69832003,22589999104.0,0.033,0.37206,29801000960.0,135.0,buy,38883000000.0,20200499200.0,160.0,164.86,0.242,0.928,0.09267,24.0,160.34,436.757,0.90650004,200.0,11880999936.0,69999001600.0,57819000832.0,6.718,USD,32.638,0.692,2.3,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,False,-18000000,EQUITY,ABBV,finmb_141885706,us_market,,6.046,,11.73,0.2504933,,11.64,,1768480000.0,,,,9.044,13661840.0,0.0077,,1640908800.0,0.70902,13342999552.0,7.5,1.41,-0.13901603,18.22866,0.0011100001,1703980800.0,,1664496000.0,2.45,1667174400.0,1766623603.0,0.672054,349578887168.0,2,,,,,1665619200.0,,0.242,5.0424876,1669766400.0,-44.0,,14.16323,,0.0077,13798523.0,0.0,,,164.79,164.6,149.7156,0.03422538,0.73730004,,165.98,,5553120,164.79,151.4634,5.64,164.6,,5553120,,,5.92,1673481600.0,,,162.83,USD,21.981333,4049330,,,,291551608832.0,,,5635858,162.83,165.33,900,4049330,175.91,,4.35,128.23,162.9,False,0.0359,800,165.98,,164.86,164.2,https://logo.clearbit.com/abbvie.com,,,,,,
5,19428-1800,Healthcare,39000.0,"AmerisourceBergen Corporation sources and distributes pharmaceutical products. Its U.S. Healthcare Solutions segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. The company also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; packaging solutions to various institutional and retail healthcare providers; clinical trial support, product post-approval, and commercialization support services; data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers; and pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturer. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; and provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics. The company's International Healthcare Solutions segment offers international pharmaceutical wholesale and related service, and global commercialization services; and distributes pharmaceuticals, other healthcare products, and related services to pharmacies, doctors, health centers and hospitals primarily in Europe. This segments also provides specialty transportation and logistics services for the biopharmaceutical industry. The company was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],https://www.amerisourcebergen.com,1,1 West First Avenue,800 640 5221,Medical Distribution,0.014630001,0.00712,0.034930002,2703088128.0,0.038,0.0117,3489650944.0,155.0,buy,8334565000.0,3326865664.0,176.0,165.27,-0.323,0.911,0.030639999,12.0,177.25,9435.978,5.08336,195.0,3388188928.0,6725304832.0,238587002880.0,16.474,USD,1144.456,0.506,2.1,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EST,False,-18000000,EQUITY,ABC,finmb_24809,us_market,,0.158,,10.781,0.33110178,,12.61,,202440992.0,,,,-1.026,3561491.0,0.0176,,1664496000.0,0.72439003,1698819968.0,8.04,0.485,-0.13901603,,0.19830999,1727654400.0,,1664496000.0,1.74,1667174400.0,152042590.0,0.549928,37623140352.0,2,,1245110400.0,2:1,,1668038400.0,,-0.327,0.14023155,1669766400.0,1.65,,13.106266,,0.0249,5534119.0,0.0,,,165.03,165.47,150.2943,0.011149488,0.2289,,166.4,,1546400,165.03,156.089,1.84,165.47,,1546400,,,1.94,1668038400.0,,,164.25,USD,20.555971,1889476,,,,33457424384.0,,,1494659,164.25,0.0,800,1889476,174.63,,1.63,123.21,110.19,False,0.0117,1200,166.4,,165.27,160.42,https://logo.clearbit.com/amerisourcebergen.com,1.5772,,,,,
6,01923,Healthcare,2003.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,978 777 8411,Medical Devices,0.25527,0.24836001,0.81324995,250983008.0,0.072,0.22961001,274184000.0,300.0,hold,843595000.0,202012000.0,380.0,380.11,0.871,7.928,0.09554,5.0,368.0,0.455,0.18244,392.0,820371968.0,0.0,1074096000.0,18.194,USD,23.609,6.824,2.9,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EST,False,-18000000,EQUITY,ABMD,finmb_247589,us_market,,15.22,,59.625,0.22677422,,5.58,,45091200.0,,,,34.087,753622.0,0.0167,,1648684800.0,0.97019994,266764000.0,5.83,,-0.13901603,11.151171,0.02024,1711843200.0,,1664496000.0,0.39,1667174400.0,44183949.0,1.397629,16348096512.0,2,,970444800.0,2:1,,,,0.864,15.957248,1669766400.0,4.31,,68.12007,,0.0216,2082860.0,0.0,,,380.3,380.45,289.04434,0.0,0.0,,380.55,,1299570,380.3,328.7904,0.0,380.45,,1299570,,,,,,,380.1,USD,65.19897,1400094,,,,17139615744.0,,,1041145,380.1,0.0,900,1400094,381.99,,,219.85,0.0,False,,800,380.55,,380.11,380.0,https://logo.clearbit.com/abiomed.com,,,,,,
7,60064-6400,Healthcare,113000.0,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,,Medical Devices,0.30398,0.17518999,0.58163,10321999872.0,-0.047,0.22974001,13688000512.0,90.0,buy,25009000000.0,7563250176.0,117.5,111.26,-0.308,1.859,0.08821,22.0,116.88,46.204,0.22373,144.0,9907000320.0,16579999744.0,45029998592.0,5.682,USD,25.592,1.221,2.1,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000,EQUITY,ABT,finmb_247483,us_market,,4.471,,14.709,-0.1804688,,4.41,,1743570048.0,,,,20.461,15744197.0,0.009,,1640908800.0,0.76185,7856999936.0,4.43,0.47,-0.13901603,5.4376616,0.0073400005,1703980800.0,,1664496000.0,3.04,1667174400.0,1730462102.0,0.701867,201342779392.0,2,,1357084800.0,10000:4798,,1665619200.0,,-0.317,4.308008,1669766400.0,2.57,,25.229027,,0.0092,14185094.0,0.0,,,111.53,111.37,109.1142,0.01685645,0.41990003,,112.91,,5616440,111.53,102.4634,1.88,111.37,,5616440,,,2.04,1673481600.0,,,110.53,USD,25.115126,4900307,,,,193989607424.0,,,6009306,110.53,110.4,800,4900307,142.6,,1.53,93.25,109.7,False,0.0183,800,112.91,,111.26,110.21,https://logo.clearbit.com/abbott.com,18.7638,Abbott Park,,,,
8,HM 08,Financial Services,5200.0,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was incorporated in 1995 and is based in Pembroke, Bermuda.",Pembroke,,,Bermuda,[],https://www.archgroup.com,1,Waterloo House,441 278 9255,Insurance—Diversified,0.14438,0.14008,0.27973,3633721088.0,0.136,0.13155,1278627968.0,55.0,buy,3361999000.0,1392649472.0,64.5,60.32,-0.981,1.915,0.01598,10.0,62.9,23.087,0.09867,70.0,2783054080.0,2725153024.0,8855909376.0,3.773,USD,23.808,0.897,1.8,NMS,Arch Capital Group Ltd.,Arch Capital Group Ltd.,America/New_York,EST,False,-18000000,EQUITY,ACGL,finmb_346919,us_market,,5.089,,35.25,0.35858476,,5.48,,369872992.0,,,,29.857,10396270.0,0.028099999,,1640908800.0,0.92533994,1199773952.0,3.09,,-0.13901603,2.0202968,0.03081,1703980800.0,,1664496000.0,1.49,1667174400.0,712808185.0,0.78987,45071155200.0,2,,1529539200.0,3:1,,,,-0.959,2.5193052,1669766400.0,0.87,,11.007299,,0.0292,4012049.0,0.0,,,59.9,60.12,48.03625,0.0,0.0,,60.88,,2057170,59.9,54.4844,0.0,60.12,,2057170,,,,,,,59.86,USD,19.521036,1826874,,,,22310737920.0,,,3928748,59.86,0.0,800,1826874,61.2,,,41.05,57.22,False,,800,60.88,,60.32,,https://logo.clearbit.com/archgroup.com,,Ground Floor 100 Pitts Bay Road,,,,
9,D02 P820,Technology,721000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,353 1 646 2020,Information Technology Services,0.16894,0.11165,0.31986,9541129216.0,0.149,0.15208,10405497856.0,268.0,buy,19701539000.0,7736192000.0,310.0,291.45,0.184,1.233,0.12946999,22.0,314.72,14.62,0.32625,375.0,7893806080.0,3325755904.0,61594304512.0,12.528,USD,97.342,1.123,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EST,False,-18000000,EQUITY,ACN,finmb_972190,us_market,,2.887,,17.087,-0.2627309,,12.6,,630080000.0,,,,35.024,5380589.0,0.0085,,1661904000.0,0.74586,6877169152.0,10.71,1.12,-0.13901603,8.321438,0.00132,1725062400.0,,1661904000.0,2.81,1667174400.0,629185246.0,1.211925,177794301952.0,2,,,,,1665532800.0,,0.176,2.9837966,1669766400.0,2.33,,23.130953,,0.0085,4906350.0,0.0,,,295.35,294.05,293.49225,0.013644828,0.3623,,297.29,,2168090,295.35,278.8724,4.03,294.05,,2168090,,,4.48,1665532800.0,,,287.855,USD,27.212887,2353608,,,,183784882176.0,,,2187875,287.855,305.0,800,2353608,417.37,,1.41,242.95,277.1,False,0.0155,1000,297.29,,291.45,291.5,https://logo.clearbit.com/accenture.com,2.9443,Grand Canal Harbour,,,,
